OBJECTID,Column2,Column1,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date_,EandR,Map,USGS7_5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species,Ammonite_,Type_,COUNT,N_F
927,555,418,2261,USA,WY,,Cretaceous,From sandstone 100-175 feet below the top of the Blair formation,"Campanian, Lower about 81.7 MY",NA,,"NW1/4 sec. 6, T. 18 N., R. 104 W","Ostrea russelli, Cardium (Ethmocardium) whitei, baculites haresi, Glyptoxoceras rubeyi, Scaphites hippocrepis, Placenticeras planum",Scaphites hippocrepis,J. H. Smith,1959,,,,41.5714,-109.19016,,,02/18/2014,"Ostrea russelli, Cardium (Ethmocardium) whitei, baculites haresi, Glyptoxoceras rubeyi, Scaphites hippocrepis, Placenticeras planum",,Blair,Placenticeras planum,Y,Ammonite,1,N
928,2273,235,4185,USA,WY,Big Horn,Upper Cretaceous,"Cody Shale, from ridge - forming sandstone, 665 feet above top of Niobrara Member ","Campanian, Lower about 81.7 MY",NA,,"Center of north line of the NW1/4 NE1/4 NE1/4 sec. 19, T. 49 N., R. 91 W.","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Placenticeras planum Hyatt",,"J. R. Gill, R. Vaughn, Burkholder, Cobban","5/9/63, 7/28/62",,,,44.2105,-107.8262,PP 619,,02/18/2014,"Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Scaphites aquisgranensis Schluter, Placenticeras planum Hyatt",,Cody,Placenticeras planum Hyatt,Y,Ammonite,1,F
929,2314,239,4178,USA,WY,Washakie,Cretaceous,"Cody Shale, from sandstone about 300 - 400 feet below a thick bentonite and bentonitic shale unit and possibly about 1,000 feet above top of Niobrara Member",Campanian,NA,,"NW1/4 sec. 31, T. 47 N., R. 89 W.","Ethmocardium whitei Dall, Tellina equilater -alis Meek & Hayden, Cymbophora alta Meek & Hayden, Baculites sp., Placenticeras planum Hyatt",,J. R. Gill,1963,,,,44.0056,-107.58108,,,02/18/2014,"Ethmocardium whitei Dall, Tellina equilater -alis Meek & Hayden, Cymbophora alta Meek & Hayden, Baculites sp., Placenticeras planum Hyatt",,Cody,Placenticeras planum Hyatt,Y,Ammonite,1,F
930,1316,130,9252,USA,WY,Washakie,Cretaceous ,"Cody Shale, 5-25 feet above base",Campanian,NA,,"Willow Creek in the NE1/4 SW1/4 sec. 24, T. 44 N., R. 88 W.","Inoceramus rotundatus Fiege, Ostrea sp, Gastropods (sent to Sohl), Baculites yokoyamai Tokunaga and Shimizu, Scaphites sp, Forresteria sp, Placenticeras sp",Cremnoceramus erectus,E.A Merewether ,7/30/1974,OER-74-19D,Big Trails   ,,43.76341,-107.36335,,,02/18/2014,"Inoceramus rotundatus Fiege, Ostrea sp, Gastropods (sent to Sohl), Baculites yokoyamai Tokunaga and Shimizu, Scaphites sp, Forresteria sp, Placenticeras sp",,Cody,Placenticeras sp.,Y,Ammonite,1,F
931,1242,122,4706,USA,WY,Hot Springs,Cretaceous,"Cody Shale, 300 ft below top.",Campanian,NA,,"NW¼ sec. 16, T. 46 N, R. 98 W.","Inoceramus sp., Baculites sp., Placenticeras sp.",,Gill & Givens,1964,OF-64-12D,,,43.95885,-108.62632,,,02/18/2014,"Inoceramus sp., Baculites sp., Placenticeras sp.",,Cody,Placenticeras sp.,Y,Ammonite,1,F
932,1541,154,4291,USA,WY,Johnson,Cretaceous,"Cody Shale, about 225 feet above base of unit 41 of Hose",Campanian,NA,,"NE1/4 sec. 13, T. 49 N., R. 83 W.  . Same locality as G63 - 54","Baculites sp., Placenticeras sp.",,"R. Burkholder, W. A. Cobban",23354,,,,44.22006,-106.78567,,,02/18/2014,"Baculites sp., Placenticeras sp.",,Cody,Placenticeras sp.,Y,Ammonite,1,F
933,1993,207,4184,USA,WY,Big Horn,Cretaceous,"Cody Shale, from gray limestone concretions about 5 feet below a ridge - forming sandstone and 620 feet above top of Niobrara Member ","Campanian, Lower about 81.7 MY",NA,,"SW1/4 SE1/4 SE1/4 sec. 18, T. 49 N., R. 91 W.","Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Haresiceras sp.,  Placenticeras sp.",,"J. R. Gill, R. Vaughn,Cobban","5/9/63, 7/28/62",,,,44.21272,-107.82618,,,02/18/2014,"Baculites aquilaensis Reeside, Scaphites hippocrepis (Dekay), Haresiceras sp.,  Placenticeras sp.",,Cody,Placenticeras sp.,Y,Ammonite,1,F
934,2052,213,4196,USA,WY,Big Horn,Cretaceous,"Cody Shale, from highest layer of ferruginous concretions, 2,550 feet above base (980 feet above top of Niobrara Member","Campanian, Middle  80.04 MY",NA,,"N1/2 SE1/4 sec. 9, T. 54 N., R. 95 W. Same locality as D4192","Cymbophora sp., Baculites obtusus Meek, Placenticeras sp.",Baculites obtusus,"G. H. Horn, J. R. Gill, W. A. Cobban",7/22/1962,,,,44.67067,-108.29404,,,02/18/2014,"Cymbophora sp., Baculites obtusus Meek, Placenticeras sp.",,Cody,Placenticeras sp.,Y,Ammonite,1,F
935,2092,217,4656,USA,WY,Natrona,Cretaceous,"Cody Shale, from limestone concretions 1,845 ft below top.",Campanian,NA,,"SE¼NE¼SE¼ sec. 29, T. 36 N, R. 85 W.","Inoceramus sp., Baculites sp., Placenticeras sp.",,Gill & Givens,1964,OF-64-13D,,,43.05958,-107.04769,,,02/18/2014,"Inoceramus sp., Baculites sp., Placenticeras sp.",,Cody,Placenticeras sp.,Y,Ammonite,1,F
936,2242,232,4661,USA,WY,Natrona,Cretaceous,"Cody Shale, from phosphatic concretions 1,110 ft below top.",Campanian,NA,,"SW¼SW¼ sec. 29, T. 36 N, R. 85 W. Same locality as D4660","Inoceramus n. sp., Baculites sp., Placenticeras sp.",,Gill & Givens,1964,OF-64-13D,,,43.05669,-107.06343,,,02/18/2014,"Inoceramus n. sp., Baculites sp., Placenticeras sp.",,Cody,Placenticeras sp.,Y,Ammonite,1,F
