Column1,X,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,species
603,2166,3126,USA,WY,,Cretaceous,Lewis Shale,Maastrichtian,NA,,N1/2SE1/4 Sec. 18 T20N R75W.  (near Center of),Pteria (Oxytoma) nebrascana (Evans & Shumard),,Hyden,1961,0,Cooper Lake North,,41.7058,-105.85478,,,02/18/2014,Pteria (Oxytoma) nebrascana (Evans & Shumard),,Pteria  nebrascana 
609,2209,8991,USA,WY,Converse,Cretaceous,"Frontier Formation, from highest septarian limestone concretions - about 10 to 20 ft. below Wall Creek Member ",,NA,,"SE1/4 SE1/4 sec. 6, T. 30 N., R. 71 W.",Pycnodonte n sp.,Pycnodonte aff. kellumi,W. A. Cobban ,10/18/1973,OER-73-15D,Poison Lake   ,,42.59301,-105.40192,,,02/18/2014,Pycnodonte n sp.,,Pycnodonte n sp.
92,344,9270,USA,WY,Big Horn,Cretaceous ,About top of Frontier Formation,,NA,,"NE1/4 SW1/4 sec.10, T. 54 N., R. 95 W.",Pycnodonte n. sp,Pycnodonte aff. kellumi,E.A Merewether ,8/22/1974,OER-74-19D,North Emblem Reservoir   ,,44.67058,-108.27128,,,02/18/2014,Pycnodonte n. sp,,Pycnodonte n. sp
100,362,8407,USA,WY ,Big Horn,Cretaceous,Frontier Formation ,,NA,,"NW1/4 SE1/4 sec. 10, T. 53 N., R. 94 W.",Pycnodonte n. sp,Pycnodonte aff. kellumi,"E. A. Merewether, W. A. Cobban ",07/12/1972,OF-72-5D,Sheep Canyon section,,44.58373,-108.15513,,,02/18/2014,Pycnodonte n. sp,,Pycnodonte n. sp
640,2345,8307,USA,WY ,Crook,Cretaceous,Basal part of Greenhorn Formation ,,NA,,"Northwest of Oil Butte in the SE1/4 SE1/4 sec. 21, T. 52 N., R. 67 W. ",Pycnodonte n. sp,,E. A. Merewether ,1971,OF-71-8D,,,44.4725,-104.9058,,,02/18/2014,Pycnodonte n. sp,BF-71-18,Pycnodonte n. sp
642,2352,8304,USA,WY ,Crook,Cretaceous,Basal part of Greenhorn Formation ,,NA,,"West of Oil Butte in the SW1/4 NW1/4 sec. 34, T. 52 N., R. 67 W. ",Pycnodonte n. sp,Pycnodonte aff. kellumi,E. A. Merewether ,1971,OF-71-8D,,,44.44639,-104.90496,,,02/18/2014,Pycnodonte n. sp,BF-71-15,Pycnodonte n. sp
435,1631,11792,USA,WY,Natrona,Cretaceous,"Frontier Formation, from soft 10 - foot sandstone overlying a dark - grey shale",,NA,,"NW1/4 NW1/4 sec. 32, T. 30 N., R. 81 W.",Pycnodonte n. sp (aff. kellumi Jones) ,,Cobban,9/13/1976,O&G-76-4D,Alcova SE  ,,42.52825,-106.5775,,,02/18/2014,Pycnodonte n. sp (aff. kellumi Jones) ,,Pycnodonte n. sp  
641,2346,8308,USA,WY ,Crook,Cretaceous,From lower part of Greenhorn Formation ,,NA,,"Northwest of Oil Butte in the SE1/4 SE1/4 sec. 21, T. 52 N., R. 67 W. ",Pycnodonte sp,,E. A. Merewether ,1971,OF-71-8D,,,44.4725,-104.9058,,,02/18/2014,Pycnodonte sp,BF-71-19,Pycnodonte sp
419,1543,4256,USA,WY,Johnson,Cretaceous,"Cody Shale, from gray and brown limestone concretions about 10 feet below thick bed of bentonite; 2,015 feet above top of Niobrara Member",Campanian,NA,,"SW/4 SW1/4 sec. 24, T. 44 N., R. 82 W.  . Same locality as D4253","pyriporid bryozoan, Baculites sp.",,"R. Burkholder, W. A. Cobban",09/05/1963,,,,43.76052,-106.6525,,,02/18/2014,"pyriporid bryozoan, Baculites sp.",,pyriporid bryozoan
258,984,5569,USA,WY,Carbon,Cretaceous,"Cody Shale, 175 ft below serrate sandstone",Campanian,NA,,"SW¼ sec. 17, T. 23 N., R. 86 W.","pyriporoid bryozoan, Baculites sp.",,J. R. Gill,9/21/1966,OF-66-3D,Rawlins NW,,41.96084,-107.13379,,,02/18/2014,"pyriporoid bryozoan, Baculites sp.",,pyriporoid bryozoan
