Column1,X,Dnum,Country,State,County,Age,Formation,Stage,Age_Date,AmmoniteZone,LocDescr,Resume_of_Fauna,IndexFossil,Collector,Date,EandR,Map,USGS7.5,Lat_Pub,Long_Pub,Reference,Comments,last_modified,Orig_Resume_Fauna,FieldNum,FormationNew,species
4606,6975,523,USA,MT,Glacier,Cretaceous,"Lower part of Two Medicine formation, from cross- bedded brown - weathering concretionary sandstone",Campanian,NA,,"Near top of hill 0.5 mile southwest of Cut Bank, NW1/4 SE1/4 sec. 11, T. 33 N., R. 6 W.",Brackish - water fossils,,W.A. Cobban,08/05/1955,0,Cut Bank ,,48.62974,-112.35059,,,02/18/2014,Brackish - water fossils,,Two Medicine,Brackish_water_fossils
4607,6976,524,USA,MT,Glacier,Cretaceous,"Lower part of Two Medicine formation, in sandstone eqivalent to part of Claggett shale",Campanian,NA,,"About 2 miles south - southwest of Cut Bank, in gully near center of the S1/2 sec. 23, T. 33 N., R. 6 W.",Brackish - water fossils,,W.A. Cobban,08/05/1955,0,Cut Bank,,48.59976,-112.3521,,,02/18/2014,Brackish - water fossils,,Claggett,Brackish_water_fossils
4608,6977,525,USA,MT,Glacier,Cretaceous,"Lower part of Two Medicine formation, about 35' above D524",Campanian,NA,,"West side of road about 2.5 miles south - southwest of Cut Bank, SW1/4 sec. 23, T. 33 N., R. 6 W. [Sec 22?]",fresh - water fossils,,W.A. Cobban,08/05/1955,0,Cut Bank ,,48.59902,-112.36557,,,02/18/2014,Brackish - water fossils,,Two Medicine,fresh_water_fossils
2208,2392,531,USA,MT,Lewis and Clark,Cretaceous,Lower part of Horsethief sandstone,"Campanian, Upper. 73.52 MY",NA,,"Three miles east of Augusta, NW1/4 NE1/4 sec. 12, T. 20 N., R. 6 W.,",Baculites compressus ,Baculites cuneatus,W. A. Cobban,8/13/1955,0,,,47.50766,-112.30862,,,02/18/2014,Baculites compressus fauna,,Horsethief,Baculites_compressus
4610,6981,532,USA,MT,Lewis and Clark,Cretaceous,Upper part of Horsethief sandstone,Campanian,NA,,"Three miles east of Augusta, NW1/4 NE1/4 sec. 12, T. 20 N., R. 6 W",Protodonax,,W. A. Cobban,8/13/1955,0,,,47.50848,-112.30778,,,02/18/2014,Protodonax,,Horsethief,Protodonax
4611,6987,538,USA,MT,Lewis and Clark,Cretaceous,Basal foot of Bearpaw equivalent,Campanian,NA,,"NW1/4 sec. 16, T. 20 N., R. 5 W.",Ostrea ,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.49064,-112.24441,,,02/18/2014,Ostrea ,,Bearpaw,Ostrea
4612,6988,539,USA,MT,Lewis and Clark,Cretaceous,20-foot sandstone Bed at or near base of Bearpaw shale equivalent,Campanian,NA,,"NW1/4 sec. 16, T. 20 N., R. 5 W.",Ostrea ,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.49064,-112.24441,,,02/18/2014,Ostrea ,,Bearpaw,Ostrea
4613,6989,540,USA,MT,Lewis and Clark,Cretaceous,From sandy layers about 50' above base of  Bearpaw equivalent,Campanian,NA,,"NW1/4 sec. 16, T. 20 N., R. 5 W.",Arctica ovata,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.49064,-112.24441,,,02/18/2014,Arctica ovata,,Bearpaw,Arctica_ovata
4614,6990,541,USA,MT,Lewis and Clark,Cretaceous,From concretionary sandstone about 90' above base of  Bearpaw equivalent,Campanian,NA,,"NW1/4 sec. 16, T. 20 N., R. 5 W",Arctica ovata,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.49064,-112.24441,,,02/18/2014,Arctica ovata,,Bearpaw,Arctica_ovata
4615,6991,542,USA,MT,Lewis and Clark,Cretaceous,Float from Bearpaw equivalent,Campanian,NA,,"NW1/4 sec. 16, T. 20 N., R. 5 W",Arctica ovata ,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.49064,-112.24441,,,02/18/2014,Arctica ovata fauna,,Bearpaw,Arctica_ovata
4616,6992,543,USA,MT,Lewis and Clark,Cretaceous,About 50' above base of Horsethief sandstone,Campanian,NA,,"NW1/4 sec. 16, T. 20 N., R. 5 W.",Tancredia,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.49064,-112.24441,,,02/18/2014,Tancredia,,Horsethief,Tancredia
4617,6993,544,USA,MT,Lewis and Clark,Cretaceous,Basal 2' of upper or dark member of Horsethief sandstone,Campanian,NA,,"NW1/4 sec. 16, T. 20 N., R. 5 W.",Protodonax,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.49064,-112.24441,,,02/18/2014,Protodonax,,Horsethief,Protodonax
4619,6995,546,USA,MT,Lewis and Clark,Cretaceous,35' above base of upper or dark member of Horsethief sandstone,Campanian,NA,,"NW1/4 sec. 16, T. 20 N., R. 5 W.",Protodonax,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.49064,-112.24441,,,02/18/2014,Protodonax,,Horsethief,Protodonax
4620,6996,547,USA,MT,Lewis and Clark,Cretaceous,2 -3' above base of upper or dark member of Horsethief sandstone,Campanian,NA,,"Sandstone bluffs just east of road, 8 miles east - southeast of Augusta, E1/2 sec. 27, T. 20 N., R. 5 W",Inoceramus,,W. A. Cobban,8/15/1955,0,Bowman's Corner NW,,47.45826,-112.2229,,,02/18/2014,Inoceramus,,Horsethief,Inoceramus
